"filename", "language", "Properties", "Java", "XML", "JavaScript", "CSS", "HTML", "Log", "comment", "blank", "total"
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DeleteColumnsToMakeSorted.java", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DeleteNodeInALinkedList.java", "Java", 0, 7, 0, 0, 0, 0, 0, 9, 2, 18
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DetectCapital.java", "Java", 0, 19, 0, 0, 0, 0, 0, 9, 5, 33
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DiameterOfBinaryTree.java", "Java", 0, 53, 0, 0, 0, 0, 0, 11, 13, 77
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DistributeCandies.java", "Java", 0, 20, 0, 0, 0, 0, 0, 12, 5, 37
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\DistributeCoinsinBinaryTree.java", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FibonacciNumber.java", "Java", 0, 15, 0, 0, 0, 0, 0, 9, 3, 27
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindAllAnagramsInAString.java", "Java", 0, 34, 0, 0, 0, 0, 0, 9, 7, 50
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindAllDuplicatesInAnArray.java", "Java", 0, 20, 0, 0, 0, 0, 0, 11, 8, 39
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindAllNumbersDisappearedInArray.java", "Java", 0, 24, 0, 0, 0, 0, 0, 18, 7, 49
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindAndReplacePattern.java", "Java", 0, 59, 0, 0, 0, 0, 0, 9, 12, 80
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindBottomLeftValue.java", "Java", 0, 20, 0, 0, 0, 0, 0, 9, 5, 34
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindCommonCharacters.java", "Java", 0, 32, 0, 0, 0, 0, 0, 9, 5, 46
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindLargetValueInEachTreeRow.java", "Java", 0, 46, 0, 0, 0, 0, 0, 18, 7, 71
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindMinimumInRotatedSortedArray.java", "Java", 0, 12, 0, 0, 0, 0, 0, 9, 2, 23
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindPivotIndex.java", "Java", 0, 27, 0, 0, 0, 0, 0, 10, 6, 43
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindSmallestLetterGreaterThanTarget.java", "Java", 0, 23, 0, 0, 0, 0, 0, 22, 7, 52
"e:\workspace\problem-solving-skills\src\leetcode\com\algorithms\FindTheDifference.java", "Java", 0, 16, 0, 0, 0, 0, 0, 9, 3, 28
